"","p","cumsum","average","sd","ratio","ava","avb"
"S. siderea",0.0756,0.134685884563078,0.0347707481251765,0.0158621367964491,2.19205952964422,7.4902930634642,4.57640861141652
"A. tenuifolia",1,0.235163837950407,0.0259395676146583,0.0213502940691534,1.21495130374506,4.07297890376628,4.39092863543568
"A. agaricites",1,0.334422952462289,0.0256249099971893,0.0194952478601186,1.31441827162455,9.2507256398102,7.64190891894983
"P. porites",1,0.404344373504696,0.0180510387373319,0.013687304369833,1.31881620000477,4.49699443356652,4.21488643592005
"P. astreoides",0.9986,0.470879459424749,0.0171768164237706,0.0132214711689446,1.2991607518017,6.91257897704892,6.25608995720998
"Orbicella spp.",0.9966,0.532579688867773,0.015928641254342,0.0127038952657155,1.25383915099876,2.51186124549554,2.94660239200683
"P. strigosa",0.6795,0.592496069371298,0.0154681196312343,0.0113585622984567,1.36180259656065,1.99971150847023,1.07860812415313
"D. stokesii",3e-04,0.6504651980803,0.0149654136357003,0.00842881389099608,1.77550647448591,1.38091120209321,0.166666666666667
"M. cavernosa",0.9193,0.70317125452345,0.0136066895146523,0.00853385591060693,1.59443628497878,2.43688311015067,1.38172297277957
"S. intersepta",0.9835,0.752025273219481,0.0126122405810595,0.0100961268005533,1.24921574681177,2.23812972471699,1.95257845261291
"M. decactis",0.0461,0.800244390077527,0.0124483331904341,0.0124778182835265,0.997636999319718,0.978126885991517,0.387482860816009
"H. cucullata",0.0073,0.847839837785295,0.0122873256504973,0.00888432383026048,1.38303441941704,1.16379154033593,0.405140485549108
"M. meandrites",1e-04,0.883816049518203,0.00928768297227986,0.00796982315540577,1.16535621822176,0.766839923301909,0
"E. fastigiata",0.001,0.912697084743056,0.00745597955313127,0.0070574225356286,1.05647345266499,0.642248774017504,0.0555555555555556
"D. labyrinthiformis",0.6723,0.940295996164069,0.00712498418570112,0.00772002071212418,0.922922936529359,0.434912618041455,0.425380791638466
"S. radians",0.1525,0.960063846543111,0.00510330350307761,0.00663378867133286,0.769289429603167,0.245234086798505,0.31844726708716
"A. fragilis",0.8791,0.969485290335933,0.00243225672948892,0.00483645918458464,0.502900290617835,0.0555555555555556,0.166666666666667
"C. natans",0.0745,0.976869891305388,0.00190642175419366,0.00427887836256464,0.445542404493828,0.166666666666667,0
"Mycetophyllia spp.",0.225,0.983518136004935,0.00171632270651347,0.00488548286357006,0.35131076179014,0.134122975687394,0
"M. auretenra",0.688,0.989899053109495,0.00164730893790415,0.00497608195752766,0.331045379068195,0.0962250448649376,0.0555555555555556
"P. clivosa",0.241,0.994856335463119,0.00127978085203521,0.00364015996423373,0.351572695873163,0.111111111111111,0
"F. fragum",0.5971,0.997568928593545,0.00070028787953603,0.00289838984386952,0.24161272888022,0.0555555555555556,0
"Isophyllia spp.",0.9501,1,0.000627609729277794,0.00259642486106758,0.241720736343488,0.0555555555555556,0
